"State","Region","Assessment Unit ID","Cycle","Report 305b","Map 305b","Water Status","Water Name","Water Type","Water Size","Size Unit","Water Type Group","Location","Monitoring Scheduled Date","Miles 305b","Acres 305b","IR Flag","Current Year Flag","AssessedFlag","Trophic Status"
"NY","2","NY0902-0068","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0068'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0068'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Little Trout Creek, Lower, and tribs","RIVER","66.3","MILES","STREAM/CREEK/RIVER","stream and tribs, from mouth to Burke","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0071","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0071'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0071'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Minor Tribs to Canada","RIVER","24.5","MILES","STREAM/CREEK/RIVER","total length of selected tribs","-","-","-","Y","Y","N","-"
"NY","2","NY0705-0093","2014","<a href=""JavaScript: newWindow = report305b('NY0705-0093'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0705-0093'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Sugar Creek, Upper, and tribs","RIVER","41.8","MILES","STREAM/CREEK/RIVER","stream and tribs, above Guyanoga","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0075","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0075'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0075'); newWindow.focus()"">Map Assessed Water</a>","GOOD","East Branch Deer River and tribs","RIVER","68.8","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0705-0098","2014","<a href=""JavaScript: newWindow = report305b('NY0705-0098'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0705-0098'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Little Salmon Creek and tribs","RIVER","32.4","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0706-0001","2014","<a href=""JavaScript: newWindow = report305b('NY0706-0001'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0706-0001'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Owasco Outlet, Upper, and tribs","RIVER","17.2","MILES","STREAM/CREEK/RIVER","stream and tribs, from Throopsville to Owasco Lake","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0214","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0214'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0214'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Constable Pond","FRESHWATER LAKE","38","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","Y","-"
"NY","2","NY0705-0021","2014","<a href=""JavaScript: newWindow = report305b('NY0705-0021'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0705-0021'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Seneca Lake, Main Lake, Middle","FRESHWATER LAKE","40289.5","ACRES","LAKE/RESERVOIR/POND","portion of lake, as described below","-","-","-","Y","Y","Y","-"
"NY","2","NY0705-0028","2014","<a href=""JavaScript: newWindow = report305b('NY0705-0028'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0705-0028'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Crusoe Creek and tribs","RIVER","13.1","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","N","-"
"NY","2","NY0705-0007","2014","<a href=""JavaScript: newWindow = report305b('NY0705-0007'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0705-0007'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Hector Falls Creek and tribs","RIVER","26.8","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0703-0099","2014","<a href=""JavaScript: newWindow = report305b('NY0703-0099'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0703-0099'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Chittenango Creek, Upper, and tribs","RIVER","60","MILES","STREAM/CREEK/RIVER","stream and tribs, above Cazenovia","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0081","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0081'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0081'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Duck Pond","FRESHWATER LAKE","58.8","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0225","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0225'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0225'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Fish Creek and tribs","RIVER","51","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0403","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0403'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Black River Canal Trib, Upper, and tribs","RIVER","1.5","MILES","STREAM/CREEK/RIVER","stream and tribs, abov Boonville","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0409","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0409'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0409'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Buck Pond","FRESHWATER LAKE","40.4","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0228","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0228'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0228'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Middle Branch Moose R and minor tribs","RIVER","43.6","MILES","STREAM/CREEK/RIVER","stream and select tribs, McKeever to Old Forge","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0232","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0232'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0232'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Moose Creek and tribs","RIVER","40.6","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0233","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0233'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0233'); newWindow.focus()"">Map Assessed Water</a>","GOOD","North Branch and minor tribs","RIVER","10.6","MILES","STREAM/CREEK/RIVER","entire stream and select tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0419","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0419'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0419'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Tribs to Long Lake","RIVER","13.2","MILES","STREAM/CREEK/RIVER","total length of all tribs to lake","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0104","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0104'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0104'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Horseshoe Pond, Eagle Pond","FRESHWATER LAKE","66.9","ACRES","LAKE/RESERVOIR/POND","total area of both lake","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0260","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0260'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0260'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Pleasant Lake","FRESHWATER LAKE","129.5","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0146","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0146'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0146'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Chain Lake","FRESHWATER LAKE","92.2","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0148","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0148'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0148'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Osgood Pond","FRESHWATER LAKE","511.5","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0033","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0033'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0033'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Minor Lakes Trib to Big Moose Lake, SE","FRESHWATER LAKE","121.7","ACRES","LAKE/RESERVOIR/POND","total area of all selected lakes, southeast","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0268","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0268'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0268'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Sears Pond","FRESHWATER LAKE","75.2","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0271","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0271'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0271'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Swiss Creek and tribs","RIVER","70.7","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0272","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0272'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0272'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Hufcut Creek and tribs","RIVER","42.3","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0115","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0115'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0115'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Alder Meadow Brook and tribs","RIVER","21.9","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0276","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0276'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0276'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Taylorville, Elmer Falls Ponds","FRESHWATER LAKE","130.8","ACRES","LAKE/RESERVOIR/POND","total area of both lakes","-","-","-","Y","Y","Y","-"
"NY","2","NY0901-0002","2014","<a href=""JavaScript: newWindow = report305b('NY0901-0002'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0901-0002'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Saint Lawrence River, Main Stem","GREAT LAKES SHORELINE","10.9","MILES","GREAT LAKES SHORELINE","from St.Regis to Robert Moses Dam","-","-","-","Y","Y","Y","-"
"NY","2","NY0902-0128","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0128'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0128'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Whitney Pond, Cranberry Pond","FRESHWATER LAKE","57.3","ACRES","LAKE/RESERVOIR/POND","total area of both lakes","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0139","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0139'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0139'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","East Pond","FRESHWATER LAKE","9.2","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0901-0017","2014","<a href=""JavaScript: newWindow = report305b('NY0901-0017'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0901-0017'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Minor Tribs to St. Lawrence River","RIVER","14.4","MILES","STREAM/CREEK/RIVER","total length of select tribs, Massena to Louisville","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0076","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0076'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0076'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Pepperbox Pond, Spring Ponds, Tied Lake","FRESHWATER LAKE","32.6","ACRES","LAKE/RESERVOIR/POND","total area of both lakes","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0098","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0098'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0098'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Tribs to Fulton Chain Lakes","RIVER","24.6","MILES","STREAM/CREEK/RIVER","total length of select tribs to First thru Fourth Lakes","-","-","-","Y","Y","N","-"
"NY","2","NY0705-0043","2014","<a href=""JavaScript: newWindow = report305b('NY0705-0043'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0705-0043'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Sixmile Creek, Upper, and tribs","RIVER","92.7","MILES","STREAM/CREEK/RIVER","stream and tribs, above Ithaca","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0127","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0127'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0127'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Trout Pond, Bills Pond","FRESHWATER LAKE","21.9","ACRES","LAKE/RESERVOIR/POND","total area of both lakes","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0310","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0310'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0310'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Mud Lake","FRESHWATER LAKE","26.2","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY0801-0313","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0313'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0313'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Minor Tribs to Middle Black River","RIVER","94.4","MILES","STREAM/CREEK/RIVER","total length of selected tribs, fr Naumburg to Lowville","-","-","-","Y","Y","N","-"
"NY","2","NY0902-0007","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0007'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0007'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Rolley, Little Long, Bear, Bickford Pds","FRESHWATER LAKE","72.6","ACRES","LAKE/RESERVOIR/POND","total area of all four lakes","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0131","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0131'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0131'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Kettle Pond, more","FRESHWATER LAKE",".5","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0153","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0153'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0153'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Little Diamond Pond","FRESHWATER LAKE","12.3","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0038","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0038'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0038'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Black River, Middle, Main Stem","RIVER","22.3","MILES","STREAM/CREEK/RIVER","from Lyons Falls to Forestport","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0041","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0041'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0041'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Minor Lakes Trib to Upper Otter Creek","FRESHWATER LAKE","108","ACRES","LAKE/RESERVOIR/POND","total area of all four lakes","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0265","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0265'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0265'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Cobb Creek and tribs","RIVER","44.9","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0266","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0266'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0266'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Smith Creek and tribs","RIVER","16.1","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0452","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0452'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0452'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Tribs to North Lake","RIVER","57.4","MILES","STREAM/CREEK/RIVER","total length of all tribs to lake","-","-","-","Y","Y","N","-"
"NY","2","NY0901-0001","2014","<a href=""JavaScript: newWindow = report305b('NY0901-0001'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0901-0001'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Saint Lawrence River, Main Stem","GREAT LAKES SHORELINE","42.9","MILES","GREAT LAKES SHORELINE","from Robert Moses Dam to Waddington","-","-","-","Y","Y","Y","-"
"NY","2","NY0902-0110","2014","<a href=""JavaScript: newWindow = report305b('NY0902-0110'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0902-0110'); newWindow.focus()"">Map Assessed Water</a>","GOOD","West Br.St.Regis, Lower, and minor tribs","RIVER","56.7","MILES","STREAM/CREEK/RIVER","stream and select tribs, from mouth to Allen Falls Res","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0050","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0050'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0050'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Minor Lakes Trib to Big Moose Lake, NW","FRESHWATER LAKE","122.3","ACRES","LAKE/RESERVOIR/POND","total area of all selected lakes, northwest","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0018","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0018'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0018'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Terror Lake","FRESHWATER LAKE","81.6","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","Y","-"
"NY","2","NY0801-0262","2014","<a href=""JavaScript: newWindow = report305b('NY0801-0262'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY0801-0262'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Minor Tribs to Middle Black River","RIVER","49.8","MILES","STREAM/CREEK/RIVER","total length of select tribs, from Carthage to Naumburg","-","-","-","Y","Y","N","-"
"NY","2","NY1404-0052","2014","<a href=""JavaScript: newWindow = report305b('NY1404-0052'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY1404-0052'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Dryden Brook, Lower, and tribs","RIVER","4.5","MILES","STREAM/CREEK/RIVER","stream and tribs from mouth to Finch Hollow","-","-","-","Y","Y","Y","-"
"NY","2","NY1402-0052","2014","<a href=""JavaScript: newWindow = report305b('NY1402-0052'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY1402-0052'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Anawana Brook and tribs","RIVER","7.7","MILES","STREAM/CREEK/RIVER","entire stream and tribs","-","-","-","Y","Y","N","-"
"NY","2","NY1402-0054","2014","<a href=""JavaScript: newWindow = report305b('NY1402-0054'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY1402-0054'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Anawana Lake","FRESHWATER LAKE","77.2","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
"NY","2","NY1404-0060","2014","<a href=""JavaScript: newWindow = report305b('NY1404-0060'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY1404-0060'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Carrs Brook, Upper and tribs","RIVER","11.4","MILES","STREAM/CREEK/RIVER","stream and tribs above/including reservoir (P415)","-","-","-","Y","Y","N","-"
"NY","2","NY1404-0066","2014","<a href=""JavaScript: newWindow = report305b('NY1404-0066'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY1404-0066'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Bagley Brook Tributary","RIVER",".3","MILES","STREAM/CREEK/RIVER","stream and tribs above water supply dam","-","-","-","Y","Y","Y","-"
"NY","2","NY1701-0005","2014","<a href=""JavaScript: newWindow = report305b('NY1701-0005'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY1701-0005'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Jamaica Bay, Eastern, and tribs (Queens)","ESTUARY","11.126917","SQUARE MILES","BAY/ESTUARY","portion of bay and selected tidal tribs within Queens","-","-","-","Y","Y","Y","-"
"NY","2","NY1401-0065","2014","<a href=""JavaScript: newWindow = report305b('NY1401-0065'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('NY1401-0065'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Lake Marie","FRESHWATER LAKE","12.6","ACRES","LAKE/RESERVOIR/POND","entire lake","-","-","-","Y","Y","N","-"
