"State","Region","Assessment Unit ID","Cycle","Report 305b","Map 305b","Water Status","Water Name","Water Type","Water Size","Size Unit","Water Type Group","Location","Monitoring Scheduled Date","Miles 305b","Acres 305b","IR Flag","Current Year Flag","AssessedFlag","Trophic Status"
"HI","9","HIW00183","2014","<a href=""JavaScript: newWindow = report305b('HIW00183'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kealakekua Bay (off curio stand)","COASTAL WATERS","2.3","MILES","COASTAL","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HIW00157","2014","<a href=""JavaScript: newWindow = report305b('HIW00157'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hanalei Bay Mooring station","BAYS AND HARBORS","0","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00160","2014","<a href=""JavaScript: newWindow = report305b('HIW00160'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hanalei Bay (upstream of Dolphin)","ESTUARY","0","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00063","2014","<a href=""JavaScript: newWindow = report305b('HIW00063'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hanamaulu Bay","BAYS AND HARBORS","0","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00048","2014","<a href=""JavaScript: newWindow = report305b('HIW00048'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hanapepe Bay - from breakwater to shore and nearshore waters","BAYS AND HARBORS","0","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00059","2014","<a href=""JavaScript: newWindow = report305b('HIW00059'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Nawiliwili Bay (breakwater to shore)","BAYS AND HARBORS","0","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00162","2014","<a href=""JavaScript: newWindow = report305b('HIW00162'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Waikoko Estuary","ESTUARY","0","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00057","2014","<a href=""JavaScript: newWindow = report305b('HIW00057'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Waimea Bay Beach- nearshore waters to 18' from Kekaha Oomano","COASTAL WATERS","0","MILES","COASTAL","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00163","2014","<a href=""JavaScript: newWindow = report305b('HIW00163'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Waioli Stream Estuary","ESTUARY","0","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00164","2014","<a href=""JavaScript: newWindow = report305b('HIW00164'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Waipa Stream Estuary","ESTUARY","0","SQUARE MILES","BAY/ESTUARY","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HIW00098","2014","<a href=""JavaScript: newWindow = report305b('HIW00098'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hilo Bay- inshore of breakwater and nearshor waters from Wai","BAYS AND HARBORS","0","SQUARE MILES","BAY/ESTUARY","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HIW00155","2014","<a href=""JavaScript: newWindow = report305b('HIW00155'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kawaihae Harbor/Pelekane Bay","BAYS AND HARBORS","0","SQUARE MILES","BAY/ESTUARY","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HIW00165","2014","<a href=""JavaScript: newWindow = report305b('HIW00165'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hanakaoo Station","COASTAL WATERS","0","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HIW00053","2014","<a href=""JavaScript: newWindow = report305b('HIW00053'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kahului Harbor (inshore of breakwater)","BAYS AND HARBORS","0","SQUARE MILES","BAY/ESTUARY","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HIW00168","2014","<a href=""JavaScript: newWindow = report305b('HIW00168'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kalama Beach Station","COASTAL WATERS","0","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HIW00056","2014","<a href=""JavaScript: newWindow = report305b('HIW00056'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kihei Coast-nearshore waters to 60' from Kihei North-Kalama ","COASTAL WATERS","0","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HIW00167","2014","<a href=""JavaScript: newWindow = report305b('HIW00167'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kihei Coast - Cove Park","COASTAL WATERS","0","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HIW00166","2014","<a href=""JavaScript: newWindow = report305b('HIW00166'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kihei Coast - Estuary Boat Ramp","COASTAL WATERS","0","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HIW00039","2014","<a href=""JavaScript: newWindow = report305b('HIW00039'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kihei Coast - Kalepolepo","COASTAL WATERS","0","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HIW00040","2014","<a href=""JavaScript: newWindow = report305b('HIW00040'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kihei Coast - Kaonoulu Estuary","ESTUARY","0","SQUARE MILES","BAY/ESTUARY","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HIW00070","2014","<a href=""JavaScript: newWindow = report305b('HIW00070'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kihei Coast - Kealia Pond","ESTUARY","0","SQUARE MILES","BAY/ESTUARY","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HI742228","2014","<a href=""JavaScript: newWindow = report305b('HI742228'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Prince Kuhio Park","COASTAL WATERS",".6","MILES","COASTAL","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HI756040","2014","<a href=""JavaScript: newWindow = report305b('HI756040'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Oneuli Beach","COASTAL WATERS",".7","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HI761092","2014","<a href=""JavaScript: newWindow = report305b('HI761092'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kamaole Beach 1","COASTAL WATERS",".4","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HI945520","2014","<a href=""JavaScript: newWindow = report305b('HI945520'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Nu'alolo","COASTAL WATERS",".6","MILES","COASTAL","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HI949505","2014","<a href=""JavaScript: newWindow = report305b('HI949505'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Glass Beach","COASTAL WATERS",".1","MILES","COASTAL","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HI950962","2014","<a href=""JavaScript: newWindow = report305b('HI950962'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Chun's Reef","COASTAL WATERS",".8","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI951651","2014","<a href=""JavaScript: newWindow = report305b('HI951651'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Spouting Horn Beach Co. Park","COASTAL WATERS",".1","MILES","COASTAL","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HI952205","2014","<a href=""JavaScript: newWindow = report305b('HI952205'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Oneawa Beach","COASTAL WATERS","1.3","MILES","COASTAL","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI955435","2014","<a href=""JavaScript: newWindow = report305b('HI955435'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Koloa Landing","COASTAL WATERS",".05","MILES","COASTAL","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HI959746","2014","<a href=""JavaScript: newWindow = report305b('HI959746'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Ke'anae","COASTAL WATERS","1.3","MILES","COASTAL","Maui","-","-","-","Y","Y","N","-"
"HI","9","HI960731","2014","<a href=""JavaScript: newWindow = report305b('HI960731'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Pu'uohulu Beach","COASTAL WATERS",".2","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI972832","2014","<a href=""JavaScript: newWindow = report305b('HI972832'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Kapa'a Beach Co. Park","COASTAL WATERS",".9","MILES","COASTAL","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HI976083","2014","<a href=""JavaScript: newWindow = report305b('HI976083'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Gillin's Beach","COASTAL WATERS",".7","MILES","COASTAL","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HI977299","2014","<a href=""JavaScript: newWindow = report305b('HI977299'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Mokule'ia Beach","COASTAL WATERS",".1","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HI977673","2014","<a href=""JavaScript: newWindow = report305b('HI977673'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Hilo Bay (Coconut Isle)","BAYS AND HARBORS",".4","SQUARE MILES","BAY/ESTUARY","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HI978171","2014","<a href=""JavaScript: newWindow = report305b('HI978171'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Maka'alae Pt.","COASTAL WATERS",".1","MILES","COASTAL","Maui","-","-","-","Y","Y","N","-"
"HI","9","HI978783","2014","<a href=""JavaScript: newWindow = report305b('HI978783'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Kawaihae Harbor","BAYS AND HARBORS","0","SQUARE MILES","BAY/ESTUARY","Hawaii","-","-","-","Y","Y","Y","-"
"HI","9","HI983172","2014","<a href=""JavaScript: newWindow = report305b('HI983172'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Nahiku","COASTAL WATERS",".05","MILES","COASTAL","Maui","-","-","-","Y","Y","N","-"
"HI","9","HI985873","2014","<a href=""JavaScript: newWindow = report305b('HI985873'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Honomanu Bay","COASTAL WATERS",".3","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HI989341","2014","<a href=""JavaScript: newWindow = report305b('HI989341'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kahuku Golf Course","COASTAL WATERS","1.6","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI990625","2014","<a href=""JavaScript: newWindow = report305b('HI990625'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Papaoneone Beach","COASTAL WATERS",".3","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
"HI","9","HI990843","2014","<a href=""JavaScript: newWindow = report305b('HI990843'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Kahuwai Bay","COASTAL WATERS",".2","MILES","COASTAL","Hawaii","-","-","-","Y","Y","N","-"
"HI","9","HI994019","2014","<a href=""JavaScript: newWindow = report305b('HI994019'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Haleiwa Beach Park","BAYS AND HARBORS",".4","SQUARE MILES","BAY/ESTUARY","Oahu","-","-","-","Y","Y","Y","-"
"HI","9","HI996835","2014","<a href=""JavaScript: newWindow = report305b('HI996835'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Hana Bay","COASTAL WATERS",".2","MILES","COASTAL","Maui","-","-","-","Y","Y","N","-"
"HI","9","HI2-1-10","2014","<a href=""JavaScript: newWindow = report305b('HI2-1-10'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Hanakapiai","STREAM","16.206183","MILES","STREAM/CREEK/RIVER","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HI2-1-12","2014","<a href=""JavaScript: newWindow = report305b('HI2-1-12'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Limahuli","STREAM","5.118305","MILES","STREAM/CREEK/RIVER","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HI2-1-13","2014","<a href=""JavaScript: newWindow = report305b('HI2-1-13'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Manoa","STREAM","2.966143","MILES","STREAM/CREEK/RIVER","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HI2-1-14","2014","<a href=""JavaScript: newWindow = report305b('HI2-1-14'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Wainiha","STREAM","87.764312","MILES","STREAM/CREEK/RIVER","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HI2-1-15","2014","<a href=""JavaScript: newWindow = report305b('HI2-1-15'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Lumahai","STREAM","56.322677","MILES","STREAM/CREEK/RIVER","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HI2-1-17","2014","<a href=""JavaScript: newWindow = report305b('HI2-1-17'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Waipa","STREAM","10.075497","MILES","STREAM/CREEK/RIVER","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HI2-1-18","2014","<a href=""JavaScript: newWindow = report305b('HI2-1-18'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","GOOD","Waioli","STREAM","17.840052","MILES","STREAM/CREEK/RIVER","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HI417823","2014","<a href=""JavaScript: newWindow = report305b('HI417823'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Wainiha Bay","COASTAL WATERS",".6","MILES","COASTAL","Kauai","-","-","-","Y","Y","N","-"
"HI","9","HI418744","2014","<a href=""JavaScript: newWindow = report305b('HI418744'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Anini Beach Park","COASTAL WATERS",".2","MILES","COASTAL","Kauai","-","-","-","Y","Y","Y","-"
"HI","9","HI423064","2014","<a href=""JavaScript: newWindow = report305b('HI423064'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Maliko Bay","COASTAL WATERS",".1","MILES","COASTAL","Maui","-","-","-","Y","Y","Y","-"
"HI","9","HI426406","2014","<a href=""JavaScript: newWindow = report305b('HI426406'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","North Beach","COASTAL WATERS","2","MILES","COASTAL","Oahu","-","-","-","Y","Y","N","-"
