"State","Region","Assessment Unit ID","Cycle","Report 305b","Map 305b","Water Status","Water Name","Water Type","Water Size","Size Unit","Water Type Group","Location","Monitoring Scheduled Date","Miles 305b","Acres 305b","IR Flag","Current Year Flag","AssessedFlag","Trophic Status"
"IA","7","IA 03-NSK-0020_1","2014","<a href=""JavaScript: newWindow = report305b('IA 03-NSK-0020_1'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-NSK-0020_1'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","North Skunk River","RIVER","27.1","MILES","STREAM/CREEK/RIVER","from confluence with Middle Cr. (S35, T76N, R14W, Mahaska Co.) to the Mahaska/Poweshiek county line.","-","-","-","-","Y","N","-"
"IA","7","IA 03-NSK-00375_1","2014","<a href=""JavaScript: newWindow = report305b('IA 03-NSK-00375_1'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-NSK-00375_1'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Rock Creek","RIVER","5.6","MILES","STREAM/CREEK/RIVER","from confluence with unnamed tributary (NE 1/4, S34, T76N, R12W, Keokuk Co.) to confluence with Smith Cr. in S18, T76N, R12W, Keokuk Co.","-","-","-","-","Y","N","-"
"IA","7","IA 03-SKM-00175-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SKM-00175-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-SKM-00175-L_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Greenbay Lake","LAKE","171","ACRES","LAKE/RESERVOIR/POND","Lee County, S28,T68N,R3W, 4 mi. ENE of Fort Madison.","-","-","-","-","Y","N","-"
"IA","7","IA 03-SKU-0061_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SKU-0061_0'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Cedar Creek","RIVER","7.5","MILES","STREAM/CREEK/RIVER","from Lake Geode (T70N R5W Sec25, Henry Co.) to headwaters (T70N R4W Sec5, Des Moines Co.)","-","-","-","-","Y","Y","-"
"IA","7","IA 03-SKU-00650-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SKU-00650-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-SKU-00650-L_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Geode Lake","LAKE","189","ACRES","LAKE/RESERVOIR/POND","Henry County, S36,T70N,R5W, 4 mi. SW of Danville.","-","-","-","-","Y","Y","-"
"IA","7","IA 03-SKU-0066_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SKU-0066_0'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Unnamed Tributary to Lake Geode","RIVER","1.4","MILES","STREAM/CREEK/RIVER","from mouth (T70N R5W Sec25, Henry Co.) to headwaters (T70N R5W Sec24, Henry Co.)","-","-","-","-","Y","Y","-"
"IA","7","IA 03-SKU-0087_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SKU-0087_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-SKU-0087_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Lynn Creek","RIVER","3","MILES","STREAM/CREEK/RIVER","mouth to trib S7,T72N,R6W Henry Co.","-","-","-","-","Y","N","-"
"IA","7","IA 03-SKU-0126_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SKU-0126_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-SKU-0126_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","East Fork Crooked Creek","RIVER","17.6","MILES","STREAM/CREEK/RIVER","confluence with Phillips Cr. in S8, T73N, R05W, Henry Co. to headwaters (T72N R04W Sec16, Des Moines Co.)","-","-","-","-","Y","N","-"
"IA","7","IA 03-SKU-0174_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SKU-0174_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-SKU-0174_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Unnamed Tributary to Indian Creek","RIVER","3.9","MILES","STREAM/CREEK/RIVER","from mouth (center, S6, T74N, R8W, Washington Co.) to headwaters (T75N R8W Sec29, Washington Co.)","-","-","-","-","Y","Y","-"
"IA","7","IA 03-SSK-00120-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SSK-00120-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-SSK-00120-L_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Lake Keomah","LAKE","84","ACRES","LAKE/RESERVOIR/POND","Mahaska County, S13,T75N,R15W, 4.5 mi E of Oskaloosa.","-","-","-","-","Y","Y","-"
"IA","7","IA 03-SSK-00340-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SSK-00340-L_0'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","Greenwing Marsh","WETLAND","10","ACRES","WETLAND","Story County, S31,T84N,R23W, 1 mi NE of Ames.","-","-","-","-","Y","N","-"
"IA","7","IA 03-NSK-0040_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-NSK-0040_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-NSK-0040_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Middle Creek","RIVER","15.7","MILES","STREAM/CREEK/RIVER","mo to Hwy 146, S1,T76N,R16W Mahaska Co.","-","-","-","-","Y","N","-"
"IA","7","IA 03-NSK-0071_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-NSK-0071_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-NSK-0071_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","East Fork Unnamed Tributary to Arbor Lake","RIVER",".2","MILES","STREAM/CREEK/RIVER","mouth (NW1/4, SE1/4, S17, T80N, R17W, Poweshiek Co.) to headwaters at 1st Avenue, Grinnell (T80 R16W Sec17, Poweshiek Co.)","-","-","-","-","Y","N","-"
"IA","7","IA 02-WIN-00430-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-WIN-00430-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-WIN-00430-L_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Bluewing Marsh","WETLAND","36","ACRES","WETLAND","Cerro Gordo County, S33,T96N,R22W, 2 mi S of Ventura.","-","-","-","-","Y","N","-"
"IA","7","IA 02-WIN-0060_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-WIN-0060_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-WIN-0060_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Spring Creek","RIVER","3.9","MILES","STREAM/CREEK/RIVER","mo to Blair Cr S9,T97N,R20W CerroGordoCo","-","-","-","-","Y","N","-"
"IA","7","IA 04-LDM-02171-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 04-LDM-02171-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 04-LDM-02171-L_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Stephen's Forest Pond #2","LAKE","10","ACRES","LAKE/RESERVOIR/POND","Lucas County, S28,T72N,R23W, 3 mi. SE of Lucas.","-","-","-","-","Y","N","-"
"IA","7","IA 04-LDM-0280_2","2014","<a href=""JavaScript: newWindow = report305b('IA 04-LDM-0280_2'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 04-LDM-0280_2'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Middle River","RIVER","41.4","MILES","STREAM/CREEK/RIVER","from confluence with Bush Branch (S8, T75N, R29W, Madison Co.) to confluence with unnamed tributary in S17, T78N, R32W, Guthrie Co.","-","-","-","-","Y","N","-"
"IA","7","IA 04-LDM-0299_0","2014","<a href=""JavaScript: newWindow = report305b('IA 04-LDM-0299_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 04-LDM-0299_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Welty Creek","RIVER","1.6","MILES","STREAM/CREEK/RIVER","mouth-> Rocky Br S22,T75N,R29W MadisonCo","-","-","-","-","Y","N","-"
"IA","7","IA 04-LDM-0300_1","2014","<a href=""JavaScript: newWindow = report305b('IA 04-LDM-0300_1'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 04-LDM-0300_1'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","North River","RIVER","17.8","MILES","STREAM/CREEK/RIVER","mouth (Polk Co.)  to Co. Rd. R63 in S16, T77N, R24W, Warren Co.","-","-","-","-","Y","N","-"
"IA","7","IA 04-LDM-0300_2","2014","<a href=""JavaScript: newWindow = report305b('IA 04-LDM-0300_2'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 04-LDM-0300_2'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","North River","RIVER","14.7","MILES","STREAM/CREEK/RIVER","from Co. Rd. R-63 (S16, T77N, R24W, Warren Co.) to confluence with Badger Cr. in S33, T77N, R25W, Warren Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 04-LDM-0315_0","2014","<a href=""JavaScript: newWindow = report305b('IA 04-LDM-0315_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 04-LDM-0315_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","North Branch North River","RIVER","25.9","MILES","STREAM/CREEK/RIVER","mouth (S35, T77N, R27W. Madison Co.) to confluence with unnamed tributary in S5, T77N, R29W, Madison Co.","-","-","-","-","Y","N","-"
"IA","7","IA 03-SSK-0063_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SSK-0063_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 03-SSK-0063_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","College Creek","RIVER","3.8","MILES","STREAM/CREEK/RIVER","mouth (S 1/2, S3, T83N, R24W, Story Co.) to headwaters in E 1/2, S11, T83N, R25W, Boone Co.","-","-","-","-","Y","N","-"
"IA","7","IA 04-LDM-0210_2","2014","<a href=""JavaScript: newWindow = report305b('IA 04-LDM-0210_2'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 04-LDM-0210_2'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","White Breast Creek","RIVER","9.6","MILES","STREAM/CREEK/RIVER","from confluence with Brush Cr. (S22, T72N, R23W, Lucas Co.) to confluence with unnamed tributary in S4, T71N, R24W, Clarke Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 03-SSK-0067_0","2014","<a href=""JavaScript: newWindow = report305b('IA 03-SSK-0067_0'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","NOT_ASSESSED","North Onion Creek","RIVER","7.2","MILES","STREAM/CREEK/RIVER","from mouth (E1/2, S27, T84N, R25W, Boone Co.) to headwaters (T84N R26W Sec13, Boone Co.)","-","-","-","-","Y","N","-"
"IA","7","IA 06-WED-0010_1","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WED-0010_1'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WED-0010_1'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Keg Creek","RIVER","23","MILES","STREAM/CREEK/RIVER","mouth (S6, T71N, R43W, Mills Co.) to confluence with Little Keg Cr. in  S27, T75N, R42W, Pottawattamie Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 06-WED-00150-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WED-00150-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WED-00150-L_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","West Forney's Lake A","LAKE","10","ACRES","LAKE/RESERVOIR/POND","Fremont County, S8,T70N,R43W, SW of Bartlett","-","-","-","-","Y","N","-"
"IA","7","IA 06-WED-00170-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WED-00170-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WED-00170-L_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Scott Lake A","LAKE","16","ACRES","LAKE/RESERVOIR/POND","Fremont County, S16,T70N,R43W, approx 1.5 mi. S of Bartlett.","-","-","-","-","Y","N","-"
"IA","7","IA 06-WED-0042_1","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WED-0042_1'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WED-0042_1'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Pigeon Creek","RIVER","13.1","MILES","STREAM/CREEK/RIVER","from N. Pigeon Cr (S5, T76N, R43W, Pottawattamie Co.) to confluence with Campbell Cr. in S22, T78N, R42W, Harrison Co.","-","-","-","-","Y","N","-"
"IA","7","IA 06-WED-0042_3","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WED-0042_3'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WED-0042_3'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Pigeon Creek","RIVER","9.5","MILES","STREAM/CREEK/RIVER","from confluence with Little Pigeon Cr. (NW 1/4, S14, T79N, R41W, Harrison Co.) to headwaters in E 1/2, S3, T80N, R40W, Shelby Co.","-","-","-","-","Y","N","-"
"IA","7","IA 06-WED-0043_0","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WED-0043_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WED-0043_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Potato Creek","RIVER","13.5","MILES","STREAM/CREEK/RIVER","mouth (T77N R43W Sec23 Pottawattamie Co) to headwaters (T79N R41W Sec31 Harrison Co)","-","-","-","-","Y","N","-"
"IA","7","IA 06-WED-0050_0","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WED-0050_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WED-0050_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Lapworth Creek","RIVER","3.8","MILES","STREAM/CREEK/RIVER","mouth (T76N R44W S26 NW, Pottawattamie Co.) to headwaters (T75N R44W S1, Pottawattamie Co.)","-","-","-","-","Y","N","-"
"IA","7","IA 06-WEM-00428-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WEM-00428-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WEM-00428-L_0'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Lower Decatur Lake","WETLAND","3","ACRES","WETLAND","Monona County, S17,T83N,R46W, 6 mi WSW of Onawa.","-","-","-","-","Y","N","-"
"IA","7","IA 06-WEM-00452-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WEM-00452-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WEM-00452-L_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Rabbit Island Lake","WETLAND","30","ACRES","WETLAND","Monona County, S28,T85N,R47W, 10 mi. WNW of Whiting.","-","-","-","-","Y","Y","-"
"IA","7","IA 02-IOW-0280_4","2014","<a href=""JavaScript: newWindow = report305b('IA 02-IOW-0280_4'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-IOW-0280_4'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","South Fork Iowa River","RIVER","8.3","MILES","STREAM/CREEK/RIVER","from confluence with unnamed tributary in E 1/2, S11, T88N, R22W, Hardin Co. to confluence with unnamed tributary in NE 1/4, S32, T89N, R22W, Hardin Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 01-YEL-0080_3","2014","<a href=""JavaScript: newWindow = report305b('IA 01-YEL-0080_3'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 01-YEL-0080_3'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Yellow River","RIVER","5.8","MILES","STREAM/CREEK/RIVER","from N. Fk. Yellow R. (S13, T96N, R7W, Allamakee Co.) to confluence with unnamed tributary in SE 1/4, S8, T96N, R7W, Winneshiek Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 01-YEL-0085_0","2014","<a href=""JavaScript: newWindow = report305b('IA 01-YEL-0085_0'); newWindow.focus()"">305(b) Report</a>","No Mapping Data","IMPAIRED","Unnamed Tributary to Yellow River","RIVER","3.9","MILES","STREAM/CREEK/RIVER","from mouth (T96N R6W Sec18, Allamakee Co.) to headwaters (T96N R7W Sec26, Winneshiek Co.)","-","-","-","-","Y","Y","-"
"IA","7","IA 06-WED-0007_1","2014","<a href=""JavaScript: newWindow = report305b('IA 06-WED-0007_1'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 06-WED-0007_1'); newWindow.focus()"">Map Assessed Water</a>","NOT_ASSESSED","Waubonsie Creek","RIVER","3.9","MILES","STREAM/CREEK/RIVER","mouth to USGS gaging station","-","-","-","-","Y","N","-"
"IA","7","IA 01-WPS-0140_0","2014","<a href=""JavaScript: newWindow = report305b('IA 01-WPS-0140_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 01-WPS-0140_0'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Pine Creek","RIVER","11","MILES","STREAM/CREEK/RIVER","mouth (S28, T88N, R8W, Buchanan Co.) to confluence with unnamed tributary in NE 1/4, S20, T89N, R8W, Buchanan Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 01-YEL-0125_0","2014","<a href=""JavaScript: newWindow = report305b('IA 01-YEL-0125_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 01-YEL-0125_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Williams Creek","RIVER","1.8","MILES","STREAM/CREEK/RIVER","mouth (S9, T96N, R5W, Allamakee Co.) to confluence with unnamed tributary in S17, T96N, R5W, Allamakee Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 02-CED-0030_1","2014","<a href=""JavaScript: newWindow = report305b('IA 02-CED-0030_1'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-CED-0030_1'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Cedar River","RIVER","4.5","MILES","STREAM/CREEK/RIVER","from Prairie Cr. (SE 1/4, S34, T83N, R7W, Linn Co.) to confluence with McCloud Run in SW 1/4, S16, T83N, R7W, Linn Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 02-CED-00486-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-CED-00486-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-CED-00486-L_0'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Alice Wyth Lake","LAKE","45","ACRES","LAKE/RESERVOIR/POND","T89N R13W Sec 7, Black Hawk Co., north edge of Waterloo","-","-","-","-","Y","Y","-"
"IA","7","IA 02-CED-0060_1","2014","<a href=""JavaScript: newWindow = report305b('IA 02-CED-0060_1'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-CED-0060_1'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Cedar River","RIVER",".8","MILES","STREAM/CREEK/RIVER","upper end of impoundment (W line, S2, T89N, R14W, Black Hawk Co.) to confluence with Beaver Cr. in S34, T90N, R14W, Black Hawk Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 02-CED-0060_2","2014","<a href=""JavaScript: newWindow = report305b('IA 02-CED-0060_2'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-CED-0060_2'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Cedar River","RIVER","4.8","MILES","STREAM/CREEK/RIVER","from Beaver Creek (S34, T90N, R14W, Black Hawk Co.) to confluence with W. Fk. Cedar R. in S4, T90N, R14W, Black Hawk Co.)","-","-","-","-","Y","Y","-"
"IA","7","IA 02-CED-0231_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-CED-0231_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-CED-0231_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Bear Creek","RIVER","9.9","MILES","STREAM/CREEK/RIVER","mouth to Wildcat Cr., Benton Co.","-","-","-","-","Y","Y","-"
"IA","7","IA 02-CED-0260_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-CED-0260_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-CED-0260_0'); newWindow.focus()"">Map Assessed Water</a>","IMPAIRED","Bear Creek","RIVER","17.5","MILES","STREAM/CREEK/RIVER","mouth (S21, T86N, R10W, Benton Co.) to confluence with unnamed tributary in SW 1/4, S34, T88N, R9W, Buchanan Co.  ","-","-","-","-","Y","Y","-"
"IA","7","IA 02-CED-02750-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-CED-02750-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-CED-02750-L_0'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Rodgers Park Lake","LAKE","22","ACRES","LAKE/RESERVOIR/POND","Benton County, S1,T86N,R11W, 3.5 mi NW of Vinton.","-","-","-","-","Y","Y","-"
"IA","7","IA 02-CED-03725-L_0","2014","<a href=""JavaScript: newWindow = report305b('IA 02-CED-03725-L_0'); newWindow.focus()"">305(b) Report</a>","<a href=""JavaScript: newWindow = map305b('IA 02-CED-03725-L_0'); newWindow.focus()"">Map Assessed Water</a>","GOOD","Green Belt Lake","LAKE","25","ACRES","LAKE/RESERVOIR/POND","Black Hawk County, S6,T89N,R13W, W edge of Waterloo.","-","-","-","-","Y","Y","-"
